path,filename,title,description,type,author,newsletter_number,estimated_date,legacy_url,slug
"144,000.htm","144,000.htm","The Day of the Eagle by Bill Burns - 144,000 - Jesus","144,000 prophecy in Revelation. This article helps describe the purpose of the 144,000 people in the book of Revelation",article,Bill Burns,,2004-09-01,"/144,000.htm",144000
AlabamablessIsrael.htm,AlabamablessIsrael.htm,Alabama Blesses Israel - Christ our Passover - Jesus,"a meeting to bless Israel. A report on the Alabama Government resolutions to 
support Israel and the Christ Our Passover celebration here in Huntsville Alabama",article,Paul Jablonowski,,2002-04-23,/AlabamablessIsrael.htm,alabamablessisrael
Finances.htm,Finances.htm,Kingdom Finances & How to handle Money,Money and Finances in the Everlasting Kingdom of Yeshua Jesus,index,Paul Jablonowski,,,/Finances.htm,finances
JesusSecondComing.htm,JesusSecondComing.htm,Roland Pletts book The Shekinah Glory of Christ at His Coming,Roland Pletts on the Kingdom of God in Christ Jesus and His return.,article,Roland Pletts,,,/JesusSecondComing.htm,jesussecondcoming
JudgeRoyMoore10commandments.htm,JudgeRoyMoore10commandments.htm,"10 commandments monument, Judge Roy Moore, Judeo-Christian","Prayer and prophetic implications surrounding the Judge Roy Moore stand
for righteousness in our court systems. Judeo-Christian faith. Ten Commandments monumnet stand by Judge Roy Moore. 
The 10 commandents momument in Montomery Alabama removed.",article,Paul Jablonowski,,2003-08-27,/JudgeRoyMoore10commandments.htm,judgeroymoore10commandments
MountOlivesEarthquake.htm,MountOlivesEarthquake.htm,The Return of Jesus and Earthquakes on Mt of Olives Israel - October 3 2005 - Feast of Trumpets,"The Return of Jesus Christ and Earthquakes. Eyewitness reports of the Mt of Olives earthquake on October 3, 2005",article,Paul Jablonowski,,2005-10-03,/MountOlivesEarthquake.htm,mountolivesearthquake
MyStoryPaulJab.htm,MyStoryPaulJab.htm,Paul Jablonowski Testimony of Jesus,Personal testimony of How God changed my life. My testimony of Grace,article,Paul Jablonowski,,,/MyStoryPaulJab.htm,mystorypauljab
NewDayPentecostRevolution.htm,NewDayPentecostRevolution.htm,"A New Day, Jesus, Pentecost revolution",Modern Day Pentecost Revolution,article,Paul Jablonowski,,2005,/NewDayPentecostRevolution.htm,newdaypentecostrevolution
Passover.htm,Passover.htm,Jesus Christ Our Passover Celebration in Huntsville Alabama,Christians celebrating Jesus in the Passover in Huntville Alabama at the Annual Christ our Passover,article,Paul Jablonowski,,2002-03-26,/Passover.htm,passover
Revelation12starSignBirth.htm,Revelation12starSignBirth.htm,Revelation 12 Sign in the heavens of Jesus Birthing His Apostles,"How the signs in the heavens, stars and Revelation chapter 12 are declaring that Jesus is coming again in His people",article,Paul Jablonowski,,2000,/Revelation12starSignBirth.htm,revelation12starsignbirth
